Pre.,Clac.,Error,SMILES
3.227002266,3.337267062,0.03416942,O=C(Nc1ccc2c(c1)C(=O)N(*)C2=O)c1ccc(COCOCc2ccc(C(=O)Nc3ccc4c(c3)C(=O)N(c3ccc(-c5ccc(SSc6ccc(-c7ccc(*)cc7)cc6)cc5)cc3)C4=O)cc2)cc1
2.997574571,3.043751326,0.015404706,O=C(Nc1ccc2c(c1)C(=O)N(*)C2=O)c1ccc(S(=O)(=O)c2ccc(C(=O)Nc3ccc4c(c3)C(=O)N(Cc3ccc(-c5ccc(-c6ccc(C*)cc6)[nH]5)cc3)C4=O)cc2)cc1
2.891980489,3.028712855,0.047279837,O=C(OCc1ccc(-c2ccc(COC(=O)c3ccc(N4C(=O)c5ccc(OC(=O)c6ccc(C(=O)C(O)c7ccc(C(=O)Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7)cc6)cc5C4=O)cc3)cc2)cc1)c1ccc(*)cc1
2.760982424,2.742916402,0.006543331,CC(C)(c1ccc(CNC(=O)c2ccc(*)cc2)cc1)c1ccc(CNC(=O)c2ccc(N3C(=O)c4ccc(OCc5ccc(-c6ccc(COc7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5)cc4C3=O)cc2)cc1
3.488751032,3.284293595,0.058604766,O=C(Nc1ccc(*)cc1)c1ccc(-c2ccc(C(=O)Nc3ccc(N4C(=O)c5ccc(OC(=O)c6ccc(Sc7ccc(C(=O)Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7)cc6)cc5C4=O)cc3)cc2)cc1
3.555089581,4.10729973,0.155329461,O=C(Nc1ccc2c(c1)C(=O)N(*)C2=O)c1ccc(C(O)C(O)c2ccc(C(=O)Nc3ccc4c(c3)C(=O)N(c3ccc(C(=O)c5ccc(Sc6ccc(C(=O)c7ccc(*)cc7)cc6)cc5)cc3)C4=O)cc2)cc1
3.321815765,3.166758038,0.046678605,O=C1c2ccc(S(=O)c3ccc4c(c3)C(=O)N(c3ccc(-c5ccc(Sc6ccc(-c7ccc(*)cc7)cc6)cc5)cc3)C4=O)cc2C(=O)N1*
2.76248839,2.826984957,0.023347272,O=C(OCc1ccc(-c2ccc(-c3ccc(COC(=O)c4ccc5c(c4)C(=O)N(c4ccc(-c6ccc(COCCOCc7ccc(-c8ccc(*)cc8)cc7)cc6)cc4)C5=O)cc3)cc2)cc1)c1ccc2c(c1)C(=O)N(*)C2=O
2.875022128,2.750550738,0.043294063,O=C(NCc1ccc(CNC(=O)c2ccc(N3C(=O)c4ccc(C(=O)OCc5ccc(/C=C/C(O)/C=C/c6ccc(COC(=O)c7ccc8c(c7)C(=O)N(*)C8=O)cc6)cc5)cc4C3=O)cc2)cc1)c1ccc(*)cc1
3.249775316,3.284449252,0.010669641,O=C(/C=C/c1ccc(COC(=O)c2ccc(*)cc2)cc1)/C=C/c1ccc(COC(=O)c2ccc(N3C(=O)c4ccc(C(=O)c5ccc(-c6ccc(-c7ccc(C(=O)c8ccc9c(c8)C(=O)N(*)C9=O)cc7)s6)cc5)cc4C3=O)cc2)cc1
